State,District,Year,Total_Schools,Primary_Enrollment,Upper_Primary_Enrollment,Secondary_Enrollment,Dropout_Rate_Primary,Dropout_Rate_Secondary,Girls_Enrollment_Percent,Teachers_Per_School
Andhra Pradesh,Nellore,2019,2954,534674,387455,303701,15.3,19.1,47.7,2.3
Andhra Pradesh,Nellore,2020,2954,386974,245884,185978,8.6,17.1,42.1,2.1
Andhra Pradesh,Nellore,2021,2954,525812,402417,314808,8.2,11.9,48.5,2.1
Andhra Pradesh,Nellore,2022,2954,324940,260909,190251,4.8,8.7,50.7,3.5
Andhra Pradesh,Nellore,2023,2954,369250,246547,182050,5.0,11.0,47.8,4.0
Andhra Pradesh,Kurnool,2018,1250,178750,135486,95532,12.6,22.9,42.4,3.1
Andhra Pradesh,Kurnool,2019,1250,175000,112684,69385,4.6,24.5,43.1,4.4
Andhra Pradesh,Kurnool,2020,1250,157500,126800,71847,13.9,26.2,47.3,1.6
Andhra Pradesh,Kurnool,2021,1250,247500,203700,140746,16.1,28.7,43.0,4.4
Andhra Pradesh,Kurnool,2022,1250,102500,65672,51108,14.2,13.9,42.4,1.6
Andhra Pradesh,Kurnool,2023,1250,246250,176993,108419,13.7,18.1,43.1,4.2
Andhra Pradesh,Rajahmundry,2018,1367,113461,78999,49990,12.1,26.6,50.2,3.4
Andhra Pradesh,Rajahmundry,2019,1367,185912,139238,92769,8.1,13.7,49.5,3.5
Andhra Pradesh,Rajahmundry,2020,1367,206417,146785,82357,12.1,15.8,46.2,1.9
Andhra Pradesh,Rajahmundry,2021,1367,173609,131630,103351,7.1,16.7,46.1,3.8
Andhra Pradesh,Rajahmundry,2022,1367,226922,179855,132307,4.9,19.4,46.0,1.5
Andhra Pradesh,Rajahmundry,2023,1367,221454,168913,134057,8.4,27.6,51.4,3.5
Andhra Pradesh,Tirupati,2018,2741,306992,212332,147395,7.9,12.5,51.0,2.1
Andhra Pradesh,Tirupati,2019,2741,400186,266555,176060,2.7,7.3,47.9,3.9
Andhra Pradesh,Tirupati,2020,2741,268618,204999,160239,8.6,8.3,42.1,1.9
Andhra Pradesh,Tirupati,2021,2741,529013,319669,202772,4.1,5.9,48.7,2.4
Andhra Pradesh,Tirupati,2022,2741,290546,230031,129644,15.0,26.2,48.2,1.9
Andhra Pradesh,Tirupati,2023,2741,523531,418488,250889,8.9,25.0,42.6,3.6
Andhra Pradesh,Kakinada,2018,2266,378422,237278,145619,12.2,14.0,46.0,2.7
Andhra Pradesh,Kakinada,2019,2266,412412,253835,198165,3.5,7.4,51.8,2.6
Andhra Pradesh,Kakinada,2020,2266,312708,190574,106810,5.1,28.5,44.3,1.6
Andhra Pradesh,Kakinada,2021,2266,296846,206614,162397,16.2,6.4,44.9,4.3
Andhra Pradesh,Kakinada,2022,2266,317240,214756,135470,5.7,8.4,43.6,3.5
Andhra Pradesh,Kakinada,2023,2266,199408,130409,86451,1.8,20.1,43.6,4.0
Arunachal Pradesh,Arunachal Pradesh District 1,2018,1712,169488,135142,101307,8.0,30.0,46.8,4.4
Arunachal Pradesh,Arunachal Pradesh District 1,2019,1712,138672,85386,47887,10.4,10.7,47.0,2.5
Arunachal Pradesh,Arunachal Pradesh District 1,2020,1712,330416,253237,188141,8.9,25.3,49.9,2.1
Arunachal Pradesh,Arunachal Pradesh District 1,2021,1712,166064,105255,83099,12.0,13.9,45.1,1.7
Arunachal Pradesh,Arunachal Pradesh District 1,2022,1712,164352,109408,60304,17.0,16.4,48.8,2.8
Arunachal Pradesh,Arunachal Pradesh District 1,2023,1712,294464,248225,155679,12.3,22.0,50.5,2.4
Arunachal Pradesh,Arunachal Pradesh District 2,2018,700,117600,79144,58740,2.8,6.9,49.0,3.6
Arunachal Pradesh,Arunachal Pradesh District 2,2019,700,105000,89003,67924,3.1,14.7,51.8,3.9
Arunachal Pradesh,Arunachal Pradesh District 2,2020,700,65100,47176,27608,16.5,22.8,46.8,3.3
Arunachal Pradesh,Arunachal Pradesh District 2,2021,700,60900,45057,24829,15.8,8.9,43.7,3.6
Arunachal Pradesh,Arunachal Pradesh District 2,2022,700,135800,108643,72704,2.3,16.7,44.3,2.2
Arunachal Pradesh,Arunachal Pradesh District 2,2023,700,116200,82848,63126,8.9,16.4,46.9,4.2
Arunachal Pradesh,Arunachal Pradesh District 3,2018,2515,264075,196065,155611,8.3,29.4,49.4,1.8
Arunachal Pradesh,Arunachal Pradesh District 3,2019,2515,296770,184346,110726,3.3,14.6,50.7,1.5
Arunachal Pradesh,Arunachal Pradesh District 3,2020,2515,337010,249117,152232,17.4,16.7,48.1,4.4
Arunachal Pradesh,Arunachal Pradesh District 3,2021,2515,331980,213581,167695,8.5,27.9,50.5,1.9
Arunachal Pradesh,Arunachal Pradesh District 3,2022,2515,503000,390169,276692,14.1,5.7,51.0,3.0
Arunachal Pradesh,Arunachal Pradesh District 3,2023,2515,414975,266153,175938,14.2,12.8,45.0,3.6
Arunachal Pradesh,Arunachal Pradesh District 4,2018,1828,153552,111890,88491,15.4,29.7,46.9,2.3
Arunachal Pradesh,Arunachal Pradesh District 4,2019,1828,159036,119166,66036,7.4,24.8,45.8,2.2
Arunachal Pradesh,Arunachal Pradesh District 4,2020,1828,228500,144068,100192,15.1,19.8,44.1,1.6
Arunachal Pradesh,Arunachal Pradesh District 4,2021,1828,330868,247884,193633,10.1,18.7,45.0,4.4
Arunachal Pradesh,Arunachal Pradesh District 4,2022,1828,334524,271291,173567,17.9,21.6,50.2,3.4
Arunachal Pradesh,Arunachal Pradesh District 4,2023,1828,292480,194489,108767,6.3,11.4,43.9,1.9
Assam,Assam District 1,2018,1085,109585,67805,37384,8.4,26.1,45.6,2.7
Assam,Assam District 1,2019,1085,145390,93727,65399,16.0,21.8,45.0,2.8
Assam,Assam District 1,2020,1085,159495,116334,71697,11.5,28.7,42.3,2.3
Assam,Assam District 1,2021,1085,106330,73060,55484,9.6,10.5,50.0,3.2
Assam,Assam District 1,2022,1085,145390,107372,69487,17.5,16.9,43.3,2.8
Assam,Assam District 1,2023,1085,128030,102671,79847,5.4,29.3,48.8,3.4
Assam,Assam District 2,2018,1056,138336,102266,60343,7.3,27.9,46.4,3.2
Assam,Assam District 2,2019,1056,206976,151097,93048,4.3,9.3,52.0,1.8
Assam,Assam District 2,2020,1056,202752,131475,82070,5.6,15.3,43.2,3.5
Assam,Assam District 2,2021,1056,175296,124170,74222,13.5,9.2,51.9,3.5
Assam,Assam District 2,2022,1056,168960,141943,98256,12.7,8.4,42.5,1.9
Assam,Assam District 2,2023,1056,137280,104573,62956,13.4,12.0,44.1,3.3
Assam,Assam District 3,2018,2027,387157,308923,213613,5.6,8.7,51.8,3.3
Assam,Assam District 3,2019,2027,233105,197081,118223,7.1,9.9,43.2,2.1
Assam,Assam District 3,2020,2027,310131,221687,155180,14.5,6.6,44.6,4.1
Assam,Assam District 3,2021,2027,391211,279970,199632,9.4,29.5,50.0,2.2
Assam,Assam District 3,2022,2027,222970,182183,134363,7.6,14.4,51.7,1.9
Assam,Assam District 3,2023,2027,374995,295147,181244,4.1,7.5,42.3,2.4
Assam,Assam District 4,2018,1629,289962,211328,121139,15.6,16.3,44.6,3.0
Assam,Assam District 4,2019,1629,259011,167361,122933,4.6,6.5,45.9,3.9
Assam,Assam District 4,2020,1629,304623,241240,167783,6.0,16.2,50.2,3.8
Assam,Assam District 4,2021,1629,276930,178847,135461,10.2,24.6,47.6,2.5
Assam,Assam District 4,2022,1629,324171,201107,155882,14.0,14.6,44.9,3.7
Assam,Assam District 4,2023,1629,241092,159076,110030,17.7,23.0,47.9,2.3
Bihar,Patna,2018,449,46247,35864,25607,9.4,26.6,45.9,2.3
Bihar,Patna,2019,449,53880,43274,30608,12.6,14.9,51.9,3.3
Bihar,Patna,2020,449,84412,59515,42471,17.8,27.6,44.1,3.0
Bihar,Patna,2021,449,44900,35877,22694,8.3,16.5,49.7,3.2
Bihar,Patna,2022,449,46247,27844,18140,13.4,10.9,51.1,4.5
Bihar,Patna,2023,449,76330,56653,35949,1.7,13.3,43.3,4.4
Bihar,Gaya,2018,432,79488,57395,36399,4.4,20.1,45.6,1.9
Bihar,Gaya,2019,432,66960,45399,34249,10.8,28.4,49.1,4.5
Bihar,Gaya,2020,432,72144,46740,26577,11.6,19.0,49.3,3.2
Bihar,Gaya,2021,432,41040,32662,19504,17.7,12.2,43.5,4.0
Bihar,Gaya,2022,432,42336,33072,19547,12.6,8.7,45.4,2.9
Bihar,Gaya,2023,432,38448,27652,19356,14.7,5.1,46.3,1.9
Bihar,Muzaffarpur,2018,1945,225620,159916,102362,4.5,15.2,45.3,3.6
Bihar,Muzaffarpur,2019,1945,330650,246665,183430,2.7,15.0,50.7,4.4
Bihar,Muzaffarpur,2020,1945,252850,161586,91704,11.0,22.0,51.3,3.2
Bihar,Muzaffarpur,2021,1945,336485,273859,173462,6.8,21.8,47.8,1.7
Bihar,Muzaffarpur,2022,1945,245070,196020,127126,2.8,25.2,42.6,2.6
Bihar,Muzaffarpur,2023,1945,367605,236810,156581,16.3,28.8,45.9,1.6
Bihar,Bhagalpur,2018,212,22048,17104,10125,16.7,5.8,49.7,2.4
Bihar,Bhagalpur,2019,212,28196,23483,14807,5.9,12.2,51.6,1.6
Bihar,Bhagalpur,2020,212,22260,18845,11628,10.4,6.0,50.1,2.3
Bihar,Bhagalpur,2021,212,34344,29122,17097,14.6,10.5,47.6,3.3
Bihar,Bhagalpur,2022,212,37524,22610,13181,10.4,24.6,50.6,2.8
Bihar,Bhagalpur,2023,212,34132,21186,13102,14.4,22.2,42.7,2.3
Bihar,Darbhanga,2018,348,66120,47666,26711,10.8,29.3,42.7,2.8
Bihar,Darbhanga,2019,348,36540,29023,18200,10.9,20.4,47.6,2.7
Bihar,Darbhanga,2020,348,58812,44178,28058,14.7,21.8,42.0,1.5
Bihar,Darbhanga,2021,348,49416,30649,22604,8.3,26.2,46.7,2.5
Bihar,Darbhanga,2022,348,51156,33984,26864,17.4,5.6,45.1,3.8
Bihar,Darbhanga,2023,348,55680,41863,32801,8.8,8.0,50.5,1.8
Bihar,Araria,2018,1387,156731,128996,75726,4.7,22.8,51.1,3.1
Bihar,Araria,2019,1387,138700,91983,51085,4.9,18.7,50.8,3.3
Bihar,Araria,2020,1387,192793,146620,116163,14.1,15.0,44.6,3.2
Bihar,Araria,2021,1387,233016,180215,138934,7.3,18.2,51.4,2.7
Bihar,Araria,2022,1387,160892,116734,80960,7.1,28.3,43.7,2.4
Bihar,Araria,2023,1387,137313,108356,65421,15.6,22.7,43.3,3.2
Bihar,Sitamarhi,2018,2446,364454,243127,163166,8.5,25.0,49.8,1.6
Bihar,Sitamarhi,2019,2446,229924,138546,80345,4.7,17.1,51.0,3.1
Bihar,Sitamarhi,2020,2446,327764,238753,148042,15.5,29.9,43.2,2.6
Bihar,Sitamarhi,2021,2446,425604,263027,161066,16.8,5.6,45.9,2.4
Bihar,Sitamarhi,2022,2446,237262,183211,113475,10.4,9.2,48.4,3.3
Bihar,Sitamarhi,2023,2446,232370,167772,97097,7.9,11.1,42.2,2.4
Bihar,Nalanda,2018,725,80475,67359,38593,3.9,20.7,46.4,2.5
Bihar,Nalanda,2019,725,140650,95302,59273,13.5,15.6,47.2,1.8
Bihar,Nalanda,2020,725,140650,94173,62115,11.3,16.8,42.2,2.5
Bihar,Nalanda,2021,725,132675,94326,63871,16.4,23.3,49.2,2.7
Bihar,Nalanda,2022,725,105125,84039,54354,5.4,28.3,50.3,3.7
Bihar,Nalanda,2023,725,102225,76984,43093,10.6,13.5,46.0,3.0
Chhattisgarh,Chhattisgarh District 1,2018,2854,342480,276950,176366,6.1,27.5,44.3,3.4
Chhattisgarh,Chhattisgarh District 1,2019,2854,396706,265544,154083,11.4,24.5,50.2,4.2
Chhattisgarh,Chhattisgarh District 1,2020,2854,293962,249142,159281,10.7,11.0,50.1,4.0
Chhattisgarh,Chhattisgarh District 1,2021,2854,502304,388816,282950,11.2,14.9,43.6,2.9
Chhattisgarh,Chhattisgarh District 1,2022,2854,490888,328823,244327,8.7,9.0,47.0,2.2
Chhattisgarh,Chhattisgarh District 1,2023,2854,254006,162176,90957,2.0,7.2,48.4,3.3
Chhattisgarh,Chhattisgarh District 2,2018,231,18711,11822,7907,13.6,22.6,47.3,2.9
Chhattisgarh,Chhattisgarh District 2,2019,231,30030,23066,17390,9.9,21.0,47.3,2.7
Chhattisgarh,Chhattisgarh District 2,2020,231,42042,31985,17890,5.8,26.0,45.6,2.3
Chhattisgarh,Chhattisgarh District 2,2021,231,26334,20174,12489,14.7,6.8,49.2,3.6
Chhattisgarh,Chhattisgarh District 2,2022,231,26334,17303,10053,10.1,6.7,51.7,3.9
Chhattisgarh,Chhattisgarh District 2,2023,231,25179,20605,11839,13.3,22.9,45.6,4.4
Chhattisgarh,Chhattisgarh District 3,2018,1983,301416,191009,148933,17.0,20.9,44.0,4.0
Chhattisgarh,Chhattisgarh District 3,2019,1983,247875,165834,100175,6.8,27.4,42.9,4.4
Chhattisgarh,Chhattisgarh District 3,2020,1983,255807,206586,138592,16.6,14.8,47.6,1.7
Chhattisgarh,Chhattisgarh District 3,2021,1983,249858,181056,112025,17.4,23.6,52.0,3.9
Chhattisgarh,Chhattisgarh District 3,2022,1983,208215,131853,104356,2.5,8.6,51.4,3.4
Chhattisgarh,Chhattisgarh District 3,2023,1983,263739,208355,165486,15.0,26.2,46.5,3.5
Chhattisgarh,Chhattisgarh District 4,2018,2701,391645,267205,190512,6.2,19.8,51.9,3.4
Chhattisgarh,Chhattisgarh District 4,2019,2701,375439,256697,168228,10.0,9.9,51.2,2.3
Chhattisgarh,Chhattisgarh District 4,2020,2701,356532,296064,232032,7.3,25.6,51.2,3.1
Chhattisgarh,Chhattisgarh District 4,2021,2701,415954,327631,221639,1.8,9.1,44.6,3.7
Chhattisgarh,Chhattisgarh District 4,2022,2701,286306,206812,123741,6.8,8.1,49.5,1.8
Chhattisgarh,Chhattisgarh District 4,2023,2701,413253,266964,187454,14.8,17.2,50.1,1.7
Goa,Goa District 1,2018,952,153272,95347,55210,13.5,6.7,51.4,3.9
Goa,Goa District 1,2019,952,175168,116398,86349,10.9,17.7,45.1,3.2
Goa,Goa District 1,2020,952,173264,138580,101996,8.8,11.1,48.1,2.6
Goa,Goa District 1,2021,952,132328,109760,82106,7.7,23.7,44.2,3.6
Goa,Goa District 1,2022,952,129472,82776,48684,10.0,20.8,50.0,1.5
Goa,Goa District 1,2023,952,119000,97233,56184,12.6,6.4,50.5,3.9
Goa,Goa District 2,2018,936,146952,90648,61346,6.7,6.5,48.5,1.7
Goa,Goa District 2,2019,936,122616,76748,58564,2.2,9.8,51.3,2.1
Goa,Goa District 2,2020,936,156312,107280,74965,13.3,9.4,48.9,3.9
Goa,Goa District 2,2021,936,168480,103859,59002,17.9,15.5,48.5,1.7
Goa,Goa District 2,2022,936,182520,130761,93880,8.4,11.6,46.0,2.9
Goa,Goa District 2,2023,936,90792,70089,38916,6.2,25.6,46.3,3.7
Goa,Goa District 3,2018,318,54696,34999,20587,7.3,5.3,50.2,2.1
Goa,Goa District 3,2019,318,30528,24756,17352,5.3,26.6,43.9,3.0
Goa,Goa District 3,2020,318,58194,43634,25094,1.8,5.6,50.4,1.6
Goa,Goa District 3,2021,318,50880,33451,24315,13.9,25.7,42.9,2.4
Goa,Goa District 3,2022,318,33390,25926,18693,14.1,16.8,42.8,3.1
Goa,Goa District 3,2023,318,59784,45901,35029,6.3,15.2,49.6,3.1
Goa,Goa District 4,2018,1689,290508,219333,124676,12.7,25.7,50.3,2.0
Goa,Goa District 4,2019,1689,141876,114672,65551,7.1,6.4,49.0,3.1
Goa,Goa District 4,2020,1689,182412,111045,87987,4.7,25.3,46.9,3.8
Goa,Goa District 4,2021,1689,222948,163908,127696,11.9,15.2,48.9,3.5
Goa,Goa District 4,2022,1689,285441,174824,110481,2.8,24.0,45.0,4.2
Goa,Goa District 4,2023,1689,192546,116735,74663,16.7,17.9,44.2,3.3
Gujarat,Ahmedabad,2018,1032,111456,70828,50269,16.2,27.8,42.4,1.6
Gujarat,Ahmedabad,2019,1032,157896,125746,88204,4.3,15.6,51.7,2.6
Gujarat,Ahmedabad,2020,1032,173376,123714,92595,16.4,17.3,50.5,1.7
Gujarat,Ahmedabad,2021,1032,122808,88717,63666,1.5,21.7,45.3,2.9
Gujarat,Ahmedabad,2022,1032,162024,107998,65900,11.3,8.0,47.0,3.4
Gujarat,Ahmedabad,2023,1032,157896,117541,68488,4.2,21.0,50.9,4.3
Gujarat,Surat,2018,415,68475,43435,29264,8.8,18.8,46.5,4.5
Gujarat,Surat,2019,415,80095,61782,45016,6.8,20.2,46.3,1.7
Gujarat,Surat,2020,415,65570,53615,33851,16.3,23.5,44.1,2.9
Gujarat,Surat,2021,415,68890,57728,41084,12.2,11.4,46.2,4.4
Gujarat,Surat,2022,415,72210,60659,34183,11.3,9.6,42.9,1.7
Gujarat,Surat,2023,415,83000,60024,43165,3.4,22.7,46.3,3.3
Gujarat,Vadodara,2018,680,72080,60101,35990,7.8,20.4,45.4,2.1
Gujarat,Vadodara,2019,680,65960,54695,31732,6.3,13.8,48.1,2.7
Gujarat,Vadodara,2020,680,132600,105187,79136,10.1,15.3,49.3,1.9
Gujarat,Vadodara,2021,680,132600,111627,72628,17.0,16.5,50.1,4.2
Gujarat,Vadodara,2022,680,131920,80164,53194,12.9,23.4,45.3,4.4
Gujarat,Vadodara,2023,680,61880,48630,30651,10.5,16.1,42.9,2.4
Gujarat,Rajkot,2018,1037,148291,104500,62346,13.4,27.1,45.5,4.3
Gujarat,Rajkot,2019,1037,205326,143615,93495,9.8,18.4,48.3,1.5
Gujarat,Rajkot,2020,1037,88145,56572,40628,9.6,15.5,47.4,2.2
Gujarat,Rajkot,2021,1037,186660,150155,85448,16.0,11.2,43.8,2.6
Gujarat,Rajkot,2022,1037,144143,98598,59983,15.3,17.1,45.7,2.3
Gujarat,Rajkot,2023,1037,90219,64702,48535,11.4,24.9,44.1,1.9
Gujarat,Bhavnagar,2018,2149,249284,150051,86081,11.2,20.1,44.1,2.5
Gujarat,Bhavnagar,2019,2149,202006,171170,121075,9.5,5.8,49.6,1.6
Gujarat,Bhavnagar,2020,2149,408310,267819,153901,2.5,14.9,51.4,3.9
Gujarat,Bhavnagar,2021,2149,217049,177833,135560,13.7,21.0,45.2,4.2
Gujarat,Bhavnagar,2022,2149,292264,243999,180896,11.1,7.2,51.2,2.2
Gujarat,Bhavnagar,2023,2149,204155,151772,92587,13.4,18.9,46.8,2.6
Gujarat,Jamnagar,2018,2654,376868,240019,158976,11.9,14.3,44.6,2.4
Gujarat,Jamnagar,2019,2654,453834,335106,226955,3.1,10.7,45.7,3.7
Gujarat,Jamnagar,2020,2654,493644,388270,258973,10.3,21.2,45.6,3.8
Gujarat,Jamnagar,2021,2654,440564,319408,177380,3.0,16.4,45.2,2.8
Gujarat,Jamnagar,2022,2654,326442,204380,128264,5.6,29.4,46.2,4.1
Gujarat,Jamnagar,2023,2654,493644,353368,248701,3.5,27.7,50.7,3.8
Gujarat,Gandhinagar,2018,1633,176364,128694,72449,9.2,10.8,44.7,2.1
Gujarat,Gandhinagar,2019,1633,151869,100988,65409,13.6,6.0,44.2,4.3
Gujarat,Gandhinagar,2020,1633,137172,111741,89130,13.5,27.0,44.6,3.8
Gujarat,Gandhinagar,2021,1633,321701,262090,181423,4.2,19.9,49.0,3.5
Gujarat,Gandhinagar,2022,1633,225354,154661,118149,16.7,11.1,42.2,1.7
Gujarat,Gandhinagar,2023,1633,153502,99687,66678,13.0,18.3,44.0,3.4
Gujarat,Anand,2018,2008,194776,162451,126119,10.3,16.9,44.9,2.9
Gujarat,Anand,2019,2008,357424,260082,170855,15.0,24.2,48.7,4.1
Gujarat,Anand,2020,2008,333328,207414,138148,5.6,23.8,42.7,1.9
Gujarat,Anand,2021,2008,259032,168159,112366,14.7,26.4,43.3,3.7
Gujarat,Anand,2022,2008,393568,314159,215936,6.3,18.8,50.7,2.3
Gujarat,Anand,2023,2008,184736,128865,84671,10.2,13.3,45.0,2.8
Haryana,Haryana District 1,2018,369,53136,36573,22601,4.8,12.8,50.2,2.6
Haryana,Haryana District 1,2019,369,71586,43657,33377,7.5,13.4,48.1,3.0
Haryana,Haryana District 1,2020,369,46125,32781,22054,11.5,27.0,49.5,4.3
Haryana,Haryana District 1,2021,369,38376,31167,24188,16.5,28.7,47.8,3.7
Haryana,Haryana District 1,2022,369,38745,30398,20568,11.1,26.3,44.8,3.2
Haryana,Haryana District 1,2023,369,47970,35519,23318,9.0,8.4,45.8,3.9
Haryana,Haryana District 2,2018,554,92518,73173,43763,17.4,22.1,48.8,4.3
Haryana,Haryana District 2,2019,554,52630,34700,21770,14.0,26.1,50.2,2.0
Haryana,Haryana District 2,2020,554,82546,49539,31121,10.8,5.1,48.2,1.9
Haryana,Haryana District 2,2021,554,74790,50197,36263,1.6,28.9,45.6,3.5
Haryana,Haryana District 2,2022,554,64818,44628,29529,6.4,7.7,47.9,3.3
Haryana,Haryana District 2,2023,554,50414,37180,21154,14.6,7.3,42.6,3.9
Haryana,Haryana District 3,2018,396,76824,50233,36686,16.1,22.2,51.7,2.6
Haryana,Haryana District 3,2019,396,45936,38131,22804,16.7,27.8,42.8,2.1
Haryana,Haryana District 3,2020,396,37224,27592,19692,17.3,26.6,50.3,3.6
Haryana,Haryana District 3,2021,396,53064,44962,25312,10.3,29.3,42.0,4.2
Haryana,Haryana District 3,2022,396,75636,56130,34059,12.1,9.5,49.0,2.6
Haryana,Haryana District 3,2023,396,77616,59663,39869,17.4,28.1,45.4,1.7
Haryana,Haryana District 4,2018,884,136136,104721,78235,13.5,28.5,48.1,2.1
Haryana,Haryana District 4,2019,884,167960,106319,78329,16.5,15.6,46.2,3.0
Haryana,Haryana District 4,2020,884,152932,107407,82445,15.5,26.4,47.0,3.6
Haryana,Haryana District 4,2021,884,144976,106665,62441,4.4,10.0,50.4,2.9
Haryana,Haryana District 4,2022,884,92820,71035,40564,2.3,10.8,49.6,2.3
Haryana,Haryana District 4,2023,884,108732,84383,58300,4.9,29.0,50.7,1.7
Himachal Pradesh,Himachal Pradesh District 1,2018,1619,299515,187424,133187,2.4,18.1,46.1,2.3
Himachal Pradesh,Himachal Pradesh District 1,2019,1619,176471,109536,75258,14.6,6.7,43.6,4.5
Himachal Pradesh,Himachal Pradesh District 1,2020,1619,132758,93360,67852,7.8,22.7,45.6,2.5
Himachal Pradesh,Himachal Pradesh District 1,2021,1619,270373,212537,126713,12.5,8.5,51.9,2.3
Himachal Pradesh,Himachal Pradesh District 1,2022,1619,305991,230850,156652,4.2,24.4,48.7,1.5
Himachal Pradesh,Himachal Pradesh District 1,2023,1619,228279,168503,112100,17.6,6.9,47.3,1.7
Himachal Pradesh,Himachal Pradesh District 2,2018,553,94010,60605,43549,3.0,8.0,42.5,1.7
Himachal Pradesh,Himachal Pradesh District 2,2019,553,58065,44124,33759,6.5,25.9,48.8,1.7
Himachal Pradesh,Himachal Pradesh District 2,2020,553,81844,55823,42011,11.4,7.7,47.2,2.7
Himachal Pradesh,Himachal Pradesh District 2,2021,553,104517,71549,41756,2.8,17.1,45.9,4.1
Himachal Pradesh,Himachal Pradesh District 2,2022,553,86268,61502,42986,10.9,8.8,50.8,2.8
Himachal Pradesh,Himachal Pradesh District 2,2023,553,79632,67113,50500,16.5,17.8,51.5,2.7
Himachal Pradesh,Himachal Pradesh District 3,2018,1137,196701,121954,71704,17.6,20.8,45.4,4.5
Himachal Pradesh,Himachal Pradesh District 3,2019,1137,101193,79940,45662,4.8,11.8,43.5,4.1
Himachal Pradesh,Himachal Pradesh District 3,2020,1137,223989,188151,150482,5.4,18.9,45.1,3.5
Himachal Pradesh,Himachal Pradesh District 3,2021,1137,101193,82049,57064,4.5,5.1,43.0,2.3
Himachal Pradesh,Himachal Pradesh District 3,2022,1137,188742,134607,75219,17.1,23.8,45.0,3.3
Himachal Pradesh,Himachal Pradesh District 3,2023,1137,148947,122060,94635,7.7,15.6,51.5,2.9
Himachal Pradesh,Himachal Pradesh District 4,2018,2655,305325,213912,150172,12.5,16.0,45.4,2.1
Himachal Pradesh,Himachal Pradesh District 4,2019,2655,297360,238915,177692,3.0,25.0,42.4,2.9
Himachal Pradesh,Himachal Pradesh District 4,2020,2655,480555,383296,237087,13.5,20.3,47.1,1.9
Himachal Pradesh,Himachal Pradesh District 4,2021,2655,238950,174525,131122,6.2,9.8,45.3,1.7
Himachal Pradesh,Himachal Pradesh District 4,2022,2655,443385,321783,186669,15.6,8.3,46.9,1.7
Himachal Pradesh,Himachal Pradesh District 4,2023,2655,297360,184658,123025,10.6,29.5,47.0,3.1
Jharkhand,Jharkhand District 1,2018,1197,191520,140111,93254,17.9,9.0,47.9,1.8
Jharkhand,Jharkhand District 1,2019,1197,184338,142059,81303,12.5,22.8,46.8,3.7
Jharkhand,Jharkhand District 1,2020,1197,161595,110938,76646,3.1,10.4,49.3,4.4
Jharkhand,Jharkhand District 1,2021,1197,184338,148663,88250,11.4,21.9,46.9,2.9
Jharkhand,Jharkhand District 1,2022,1197,131670,94923,74034,14.8,7.4,49.7,3.9
Jharkhand,Jharkhand District 1,2023,1197,239400,188042,116506,12.8,21.5,42.8,2.7
Jharkhand,Jharkhand District 2,2018,2902,475928,311523,177589,11.5,10.0,49.4,2.3
Jharkhand,Jharkhand District 2,2019,2902,243768,153886,93534,10.3,29.1,44.7,4.2
Jharkhand,Jharkhand District 2,2020,2902,487536,327829,187894,3.9,29.0,46.0,1.6
Jharkhand,Jharkhand District 2,2021,2902,507850,357260,264219,4.9,29.3,43.0,1.9
Jharkhand,Jharkhand District 2,2022,2902,542674,355180,198615,7.2,6.6,48.6,3.4
