State,District,Year,Education_Literacy_Index,Healthcare_Access_Index,Food_Security_Index,Employment_Income_Index
Uttar Pradesh,UP_District_5,2019,53.85,58.18,53.37,65.41
Uttar Pradesh,UP_District_5,2020,54.95,59.24,54.1,66.17
Uttar Pradesh,UP_District_5,2021,57.39,61.18,55.01,67.24
Uttar Pradesh,UP_District_5,2022,58.08,62.79,55.16,68.85
Uttar Pradesh,UP_District_5,2023,56.94,61.91,59.99,70.82
Uttar Pradesh,UP_District_6,2018,57.98,59.37,73.27,52.53
Uttar Pradesh,UP_District_6,2019,59.09,60.28,74.55,53.83
Uttar Pradesh,UP_District_6,2020,61.55,61.18,75.75,55.03
Uttar Pradesh,UP_District_6,2021,60.46,64.04,75.41,57.07
Uttar Pradesh,UP_District_6,2022,61.6,64.0,75.82,58.0
Uttar Pradesh,UP_District_6,2023,66.57,67.53,80.09,61.2
Uttar Pradesh,UP_District_7,2018,64.45,50.43,53.59,64.45
Uttar Pradesh,UP_District_7,2019,65.91,52.15,54.73,65.35
Uttar Pradesh,UP_District_7,2020,67.44,52.93,55.28,67.24
Uttar Pradesh,UP_District_7,2021,68.18,54.5,58.3,67.49
Uttar Pradesh,UP_District_7,2022,70.69,56.47,56.72,68.81
Uttar Pradesh,UP_District_7,2023,71.4,57.63,59.52,72.77
Uttar Pradesh,UP_District_8,2018,52.05,68.85,55.84,55.67
Uttar Pradesh,UP_District_8,2019,53.43,70.33,57.15,57.12
Uttar Pradesh,UP_District_8,2020,55.33,71.75,58.61,57.9
Uttar Pradesh,UP_District_8,2021,54.97,74.24,59.9,59.63
Uttar Pradesh,UP_District_8,2022,56.07,73.16,58.95,61.8
Uttar Pradesh,UP_District_8,2023,58.63,77.43,61.81,64.12
Uttar Pradesh,UP_District_9,2018,74.58,65.46,62.34,52.22
Uttar Pradesh,UP_District_9,2019,75.69,67.0,63.59,53.03
Uttar Pradesh,UP_District_9,2020,77.1,68.63,64.85,54.4
Uttar Pradesh,UP_District_9,2021,77.44,69.64,65.15,55.94
Uttar Pradesh,UP_District_9,2022,78.1,68.89,65.68,58.14
Uttar Pradesh,UP_District_9,2023,82.22,72.98,65.44,59.53
Uttar Pradesh,UP_District_10,2018,53.6,63.98,60.72,49.72
Uttar Pradesh,UP_District_10,2019,54.75,65.43,62.2,50.85
Uttar Pradesh,UP_District_10,2020,55.67,66.93,63.35,52.3
Uttar Pradesh,UP_District_10,2021,56.15,66.87,63.78,54.27
Uttar Pradesh,UP_District_10,2022,58.83,70.36,66.46,53.55
Uttar Pradesh,UP_District_10,2023,61.43,72.06,67.19,56.29
Uttar Pradesh,UP_District_11,2018,56.62,69.91,55.9,49.6
Uttar Pradesh,UP_District_11,2019,58.32,70.88,56.83,50.78
Uttar Pradesh,UP_District_11,2020,59.21,73.09,58.63,52.18
Uttar Pradesh,UP_District_11,2021,60.86,73.4,59.47,53.31
Uttar Pradesh,UP_District_11,2022,63.81,76.62,59.47,56.68
Uttar Pradesh,UP_District_11,2023,65.57,78.14,59.09,54.55
Uttar Pradesh,UP_District_12,2018,69.15,63.78,57.07,52.47
Uttar Pradesh,UP_District_12,2019,70.03,64.72,58.05,53.38
Uttar Pradesh,UP_District_12,2020,72.61,65.49,58.74,54.48
Uttar Pradesh,UP_District_12,2021,73.15,67.87,61.06,56.57
Uttar Pradesh,UP_District_12,2022,73.76,69.91,63.42,56.02
Uttar Pradesh,UP_District_12,2023,75.24,68.14,63.41,57.19
Uttar Pradesh,UP_District_13,2018,52.48,50.73,69.77,54.97
Uttar Pradesh,UP_District_13,2019,54.21,51.61,70.94,56.61
Uttar Pradesh,UP_District_13,2020,54.72,54.14,72.45,58.17
Uttar Pradesh,UP_District_13,2021,57.44,53.65,73.38,57.92
Uttar Pradesh,UP_District_13,2022,59.18,56.46,75.76,58.32
Uttar Pradesh,UP_District_13,2023,58.24,58.14,74.28,61.61
Uttar Pradesh,UP_District_14,2018,53.86,67.6,64.57,51.52
Uttar Pradesh,UP_District_14,2019,54.96,68.78,65.18,53.26
Uttar Pradesh,UP_District_14,2020,56.07,71.19,66.54,53.78
Uttar Pradesh,UP_District_14,2021,56.36,71.25,67.82,54.23
Uttar Pradesh,UP_District_14,2022,60.66,72.77,67.03,55.89
Uttar Pradesh,UP_District_14,2023,59.44,71.69,71.05,57.51
Uttar Pradesh,UP_District_15,2018,69.83,51.33,70.03,58.22
Uttar Pradesh,UP_District_15,2019,71.14,53.0,71.38,59.96
Uttar Pradesh,UP_District_15,2020,73.05,54.5,72.45,60.38
Uttar Pradesh,UP_District_15,2021,72.77,56.33,74.37,61.09
Uttar Pradesh,UP_District_15,2022,75.34,57.28,75.09,61.48
Uttar Pradesh,UP_District_15,2023,75.63,56.22,75.77,63.31
Uttar Pradesh,UP_District_16,2018,50.44,62.59,58.68,42.63
Uttar Pradesh,UP_District_16,2019,51.28,63.57,60.14,43.84
Uttar Pradesh,UP_District_16,2020,52.84,64.49,61.52,44.32
Uttar Pradesh,UP_District_16,2021,53.58,67.54,62.18,46.82
Uttar Pradesh,UP_District_16,2022,54.53,68.32,64.21,49.3
Uttar Pradesh,UP_District_16,2023,56.82,69.73,63.8,49.13
Uttar Pradesh,UP_District_17,2018,50.06,49.31,50.1,49.98
Uttar Pradesh,UP_District_17,2019,51.39,50.24,50.81,51.41
Uttar Pradesh,UP_District_17,2020,53.23,52.38,52.0,53.22
Uttar Pradesh,UP_District_17,2021,54.49,52.23,52.61,54.95
Uttar Pradesh,UP_District_17,2022,54.66,56.21,55.98,54.84
Uttar Pradesh,UP_District_17,2023,57.03,57.7,57.03,56.33
Uttar Pradesh,UP_District_18,2018,61.46,59.16,55.25,54.08
Uttar Pradesh,UP_District_18,2019,62.65,60.45,56.55,55.17
Uttar Pradesh,UP_District_18,2020,64.9,62.57,57.32,55.88
Uttar Pradesh,UP_District_18,2021,66.3,62.86,59.8,58.32
Uttar Pradesh,UP_District_18,2022,67.99,66.13,58.88,58.94
Uttar Pradesh,UP_District_18,2023,65.62,65.44,62.64,58.11
Uttar Pradesh,UP_District_19,2018,64.8,51.83,54.82,57.97
Uttar Pradesh,UP_District_19,2019,65.99,52.88,55.51,59.46
Uttar Pradesh,UP_District_19,2020,68.07,54.94,57.32,59.87
Uttar Pradesh,UP_District_19,2021,68.69,55.37,56.93,62.46
Uttar Pradesh,UP_District_19,2022,70.41,55.63,59.53,63.05
Uttar Pradesh,UP_District_19,2023,73.31,56.75,59.06,61.98
Uttar Pradesh,UP_District_20,2018,73.66,54.13,57.44,53.51
Uttar Pradesh,UP_District_20,2019,74.47,55.35,58.59,55.28
Uttar Pradesh,UP_District_20,2020,76.12,56.89,58.99,57.07
Uttar Pradesh,UP_District_20,2021,76.61,58.1,59.76,57.16
Uttar Pradesh,UP_District_20,2022,79.27,59.81,63.36,57.71
Uttar Pradesh,UP_District_20,2023,79.89,59.88,62.07,62.32
Tamil Nadu,TN_District_1,2018,69.22,55.78,68.59,44.25
Tamil Nadu,TN_District_1,2019,70.73,56.75,69.57,45.17
Tamil Nadu,TN_District_1,2020,72.63,58.08,69.92,46.0
Tamil Nadu,TN_District_1,2021,74.08,60.44,72.52,48.76
Tamil Nadu,TN_District_1,2022,75.86,62.22,74.53,48.26
Tamil Nadu,TN_District_1,2023,77.34,64.45,76.23,49.64
Tamil Nadu,TN_District_2,2018,60.61,58.24,64.37,44.92
Tamil Nadu,TN_District_2,2019,61.44,59.76,65.79,46.22
Tamil Nadu,TN_District_2,2020,62.77,61.15,66.84,47.02
Tamil Nadu,TN_District_2,2021,65.71,61.81,67.85,47.81
Tamil Nadu,TN_District_2,2022,65.78,64.02,68.01,50.85
Tamil Nadu,TN_District_2,2023,66.49,65.76,69.86,49.59
Tamil Nadu,TN_District_3,2018,59.91,67.07,57.16,50.49
Tamil Nadu,TN_District_3,2019,61.32,68.45,58.24,51.6
Tamil Nadu,TN_District_3,2020,62.25,70.52,58.7,53.56
Tamil Nadu,TN_District_3,2021,64.8,71.78,59.47,54.25
Tamil Nadu,TN_District_3,2022,64.56,73.39,61.27,54.12
Tamil Nadu,TN_District_3,2023,66.75,72.38,63.95,58.54
Tamil Nadu,TN_District_4,2018,60.91,66.3,70.21,49.35
Tamil Nadu,TN_District_4,2019,62.55,67.42,71.39,50.34
Tamil Nadu,TN_District_4,2020,64.0,68.27,71.88,52.87
Tamil Nadu,TN_District_4,2021,63.41,69.03,73.84,53.22
Tamil Nadu,TN_District_4,2022,64.89,69.72,73.07,55.91
Tamil Nadu,TN_District_4,2023,66.45,75.04,74.6,56.97
Tamil Nadu,TN_District_5,2018,68.66,48.99,62.32,48.87
Tamil Nadu,TN_District_5,2019,70.42,49.86,63.03,49.73
Tamil Nadu,TN_District_5,2020,71.95,51.37,65.45,51.28
Tamil Nadu,TN_District_5,2021,73.67,53.4,65.77,53.49
Tamil Nadu,TN_District_5,2022,74.44,54.21,68.17,55.48
Tamil Nadu,TN_District_5,2023,75.32,53.77,67.56,56.13
Tamil Nadu,TN_District_6,2018,53.71,55.09,70.58,53.25
Tamil Nadu,TN_District_6,2019,55.43,56.09,71.95,54.22
Tamil Nadu,TN_District_6,2020,56.34,57.78,72.43,55.9
Tamil Nadu,TN_District_6,2021,56.14,59.64,73.09,57.44
Tamil Nadu,TN_District_6,2022,60.9,60.5,72.98,56.86
Tamil Nadu,TN_District_6,2023,62.13,61.19,75.17,62.1
Tamil Nadu,TN_District_7,2018,53.2,59.88,54.87,47.85
Tamil Nadu,TN_District_7,2019,54.28,61.29,56.17,48.88
Tamil Nadu,TN_District_7,2020,56.14,62.55,56.77,49.88
Tamil Nadu,TN_District_7,2021,57.75,64.43,58.19,51.91
Tamil Nadu,TN_District_7,2022,59.56,63.24,58.93,53.11
Tamil Nadu,TN_District_7,2023,58.22,67.16,58.68,51.9
Tamil Nadu,TN_District_8,2018,68.52,66.98,65.03,63.46
Tamil Nadu,TN_District_8,2019,69.34,68.5,65.75,64.82
Tamil Nadu,TN_District_8,2020,71.28,69.76,67.43,65.58
Tamil Nadu,TN_District_8,2021,72.94,71.46,69.13,67.69
Tamil Nadu,TN_District_8,2022,74.39,70.82,68.46,70.59
Tamil Nadu,TN_District_8,2023,74.6,71.88,68.15,69.11
Tamil Nadu,TN_District_9,2018,66.81,60.18,66.97,54.09
Tamil Nadu,TN_District_9,2019,68.02,61.42,68.06,55.57
Tamil Nadu,TN_District_9,2020,70.08,63.35,68.44,56.21
Tamil Nadu,TN_District_9,2021,72.17,63.42,70.5,57.27
Tamil Nadu,TN_District_9,2022,73.47,63.72,71.19,58.95
Tamil Nadu,TN_District_9,2023,74.91,67.33,73.88,62.84
Tamil Nadu,TN_District_10,2018,73.48,58.23,51.08,43.55
Tamil Nadu,TN_District_10,2019,74.67,59.1,52.35,45.07
Tamil Nadu,TN_District_10,2020,76.68,61.42,53.92,45.3
Tamil Nadu,TN_District_10,2021,77.38,60.99,55.53,47.53
Tamil Nadu,TN_District_10,2022,77.34,61.92,55.07,48.97
Tamil Nadu,TN_District_10,2023,79.02,63.45,56.72,52.3
Tamil Nadu,TN_District_11,2018,67.55,69.65,69.46,42.64
Tamil Nadu,TN_District_11,2019,68.38,70.5,70.21,43.98
Tamil Nadu,TN_District_11,2020,70.24,71.92,71.61,45.83
Tamil Nadu,TN_District_11,2021,71.26,72.26,72.27,47.8
Tamil Nadu,TN_District_11,2022,72.61,76.2,73.42,46.33
Tamil Nadu,TN_District_11,2023,72.71,75.98,74.5,49.12
Tamil Nadu,TN_District_12,2018,69.63,58.64,61.48,52.17
Tamil Nadu,TN_District_12,2019,71.15,60.11,63.02,53.76
Tamil Nadu,TN_District_12,2020,71.25,60.42,64.45,55.62
Tamil Nadu,TN_District_12,2021,73.86,61.58,65.33,55.49
Tamil Nadu,TN_District_12,2022,73.52,64.56,64.52,58.4
Tamil Nadu,TN_District_12,2023,73.68,64.17,68.75,56.67
Tamil Nadu,TN_District_13,2018,61.81,50.52,65.5,53.42
Tamil Nadu,TN_District_13,2019,62.79,51.35,66.71,54.74
Tamil Nadu,TN_District_13,2020,63.41,54.05,66.94,56.02
Tamil Nadu,TN_District_13,2021,65.1,54.06,68.19,55.99
Tamil Nadu,TN_District_13,2022,68.03,53.99,70.61,60.6
Tamil Nadu,TN_District_13,2023,68.78,58.96,70.93,61.86
Tamil Nadu,TN_District_14,2018,57.3,68.33,54.85,61.6
Tamil Nadu,TN_District_14,2019,59.1,69.24,55.75,63.18
Tamil Nadu,TN_District_14,2020,59.45,70.71,57.84,64.99
Tamil Nadu,TN_District_14,2021,60.13,73.53,58.16,65.65
Tamil Nadu,TN_District_14,2022,61.87,74.71,57.96,67.87
Tamil Nadu,TN_District_14,2023,65.69,77.05,59.76,69.45
Tamil Nadu,TN_District_15,2018,62.11,56.99,67.13,57.55
Tamil Nadu,TN_District_15,2019,63.9,58.32,68.73,59.1
Tamil Nadu,TN_District_15,2020,64.93,59.68,70.2,60.92
Tamil Nadu,TN_District_15,2021,66.55,59.49,70.28,61.29
Tamil Nadu,TN_District_15,2022,67.69,63.85,70.7,64.12
Tamil Nadu,TN_District_15,2023,71.07,62.99,73.27,62.21
Tamil Nadu,TN_District_16,2018,55.59,67.35,50.0,59.48
Tamil Nadu,TN_District_16,2019,56.69,69.13,50.68,60.98
Tamil Nadu,TN_District_16,2020,58.92,69.66,52.25,61.77
Tamil Nadu,TN_District_16,2021,58.39,70.51,52.07,62.76
Tamil Nadu,TN_District_16,2022,61.21,71.12,52.77,65.28
Tamil Nadu,TN_District_16,2023,64.47,73.53,57.54,64.3
Tamil Nadu,TN_District_17,2018,67.6,68.71,53.44,45.08
Tamil Nadu,TN_District_17,2019,69.28,69.84,54.1,46.03
Tamil Nadu,TN_District_17,2020,70.96,71.68,56.01,48.36
Tamil Nadu,TN_District_17,2021,72.95,71.25,58.16,50.1
Tamil Nadu,TN_District_17,2022,72.25,75.18,58.16,48.33
Tamil Nadu,TN_District_17,2023,73.57,75.82,58.92,52.49
Tamil Nadu,TN_District_18,2018,65.0,46.49,63.47,44.75
Tamil Nadu,TN_District_18,2019,66.14,47.3,64.58,46.1
Tamil Nadu,TN_District_18,2020,67.46,49.54,64.89,47.52
Tamil Nadu,TN_District_18,2021,69.9,49.33,65.32,49.53
Tamil Nadu,TN_District_18,2022,69.52,52.26,67.86,50.57
Tamil Nadu,TN_District_18,2023,72.62,52.98,67.29,50.18
Tamil Nadu,TN_District_19,2018,70.41,53.27,52.56,61.81
Tamil Nadu,TN_District_19,2019,71.61,54.58,53.63,63.18
Tamil Nadu,TN_District_19,2020,73.32,56.25,55.24,65.04
Tamil Nadu,TN_District_19,2021,73.27,56.53,56.84,65.56
Tamil Nadu,TN_District_19,2022,76.44,58.81,56.26,68.1
Tamil Nadu,TN_District_19,2023,77.57,58.27,57.58,66.79
Tamil Nadu,TN_District_20,2018,68.01,69.33,66.88,45.45
Tamil Nadu,TN_District_20,2019,68.83,70.52,68.26,46.91
Tamil Nadu,TN_District_20,2020,70.11,72.83,68.22,47.36
Tamil Nadu,TN_District_20,2021,72.91,72.74,71.41,50.58
Tamil Nadu,TN_District_20,2022,71.35,74.48,72.43,50.88
Tamil Nadu,TN_District_20,2023,76.82,77.37,71.04,51.79
Karnataka,KA_District_1,2018,70.62,59.65,57.36,49.24
Karnataka,KA_District_1,2019,72.04,60.85,58.52,50.91
Karnataka,KA_District_1,2020,73.24,63.1,59.43,52.5
Karnataka,KA_District_1,2021,74.87,64.15,60.24,53.65
Karnataka,KA_District_1,2022,77.34,63.55,60.76,53.89
Karnataka,KA_District_1,2023,76.21,65.84,64.11,58.13
Karnataka,KA_District_2,2018,55.88,50.58,66.6,46.05
Karnataka,KA_District_2,2019,57.21,51.44,67.62,47.62
Karnataka,KA_District_2,2020,58.65,54.07,68.19,48.6
Karnataka,KA_District_2,2021,58.68,55.8,68.95,49.38
Karnataka,KA_District_2,2022,59.12,57.04,69.77,52.74
Karnataka,KA_District_2,2023,63.17,59.16,74.36,54.19
Karnataka,KA_District_3,2018,61.84,66.18,53.93,48.85
Karnataka,KA_District_3,2019,63.07,67.19,54.71,49.89
Karnataka,KA_District_3,2020,64.8,68.13,56.4,52.33
Karnataka,KA_District_3,2021,65.98,69.22,56.71,53.91
Karnataka,KA_District_3,2022,66.79,71.08,57.04,52.93
Karnataka,KA_District_3,2023,67.59,71.32,59.68,56.11
Karnataka,KA_District_4,2018,72.43,64.69,73.24,58.31
Karnataka,KA_District_4,2019,73.74,66.16,74.32,59.97
Karnataka,KA_District_4,2020,75.71,67.51,76.23,60.26
Karnataka,KA_District_4,2021,76.52,68.09,76.67,61.53
Karnataka,KA_District_4,2022,79.18,68.65,77.63,64.44
Karnataka,KA_District_4,2023,79.83,70.13,76.3,65.32
Karnataka,KA_District_5,2018,68.85,57.84,72.68,42.43
Karnataka,KA_District_5,2019,70.1,58.71,73.62,43.89
Karnataka,KA_District_5,2020,71.02,61.02,74.78,44.32
Karnataka,KA_District_5,2021,73.12,62.77,77.06,45.09
Karnataka,KA_District_5,2022,75.31,61.46,76.43,46.37
Karnataka,KA_District_5,2023,74.64,64.73,76.95,47.02
Karnataka,KA_District_6,2018,72.9,56.19,67.99,58.47
Karnataka,KA_District_6,2019,74.21,57.49,69.03,59.54
Karnataka,KA_District_6,2020,75.36,58.25,69.35,60.95
Karnataka,KA_District_6,2021,77.21,61.06,69.98,62.82
Karnataka,KA_District_6,2022,78.48,62.25,72.9,62.55
Karnataka,KA_District_6,2023,81.5,62.83,74.88,62.73
Karnataka,KA_District_7,2018,74.39,59.33,71.76,42.1
Karnataka,KA_District_7,2019,75.72,60.43,72.49,43.2
Karnataka,KA_District_7,2020,76.75,61.11,74.67,45.2
Karnataka,KA_District_7,2021,77.13,63.42,76.47,46.8
Karnataka,KA_District_7,2022,81.15,64.43,74.61,45.89
Karnataka,KA_District_7,2023,82.72,64.49,76.95,46.45
Karnataka,KA_District_8,2018,63.12,55.15,59.55,61.08
Karnataka,KA_District_8,2019,64.92,56.3,60.16,62.33
